Reference;Region;Bioregion;WDepth;Specie;Genus;LifeForm;Core length;DBD;Mud;CaCO3;OM;Corg;;
32;SW Asia;Tropical Indo-Pacific;;Halophila stipulacea;Halophila spp.;Colonising;5;;1.807;3.788;1.876;0.126;;
33;E Pacific;Temperate North Pacific;;Zostera japonica;Zostera spp.;Opportinistic;10;;15;;;;;
33;E Pacific;Temperate North Pacific;;Zostera japonica;Zostera spp.;Opportinistic;10;;10;;;;;
33;E Pacific;Temperate North Pacific;;Zostera japonica;Zostera spp.;Opportinistic;10;;10;;;;;
34;E Australia;Temperate Southern Oceans;;Ruppia megacarpa;Ruppia spp.;Colonising;2;;2.3;;;;;
34;E Australia;Temperate Southern Oceans;;Zostera capricorni;Zostera spp.;Opportinistic;2;;8.8;;;;;
35;SE Asia;Tropical Indo-Pacific;;Enhalus acoroides;Enhalus spp.;Persistent;25;;;3.78;;0.37;;
35;SE Asia;Tropical Indo-Pacific;;Thalassia hemprichii;Thalassia spp.;Persistent;25;;;1.22;;0.16;;
35;SE Asia;Tropical Indo-Pacific;;Halophila ovalis;Halophila spp.;Colonising;25;;;0.91;;0.15;;
36;Caribean Sea;Tropical Atlantic;;mixed;mixed;Mixed;5;;7;;;0.9;;
36;Caribean Sea;Tropical Atlantic;;mixed;mixed;Mixed;5;;7;;;1.1;;
36;Caribean Sea;Tropical Atlantic;;mixed;mixed;Mixed;5;;2;;;0.2;;
36;Caribean Sea;Tropical Atlantic;;mixed;mixed;Mixed;5;;3;;;0.5;;
36;Caribean Sea;Tropical Atlantic;;mixed;mixed;Mixed;5;;1;;;0.2;;
36;Caribean Sea;Tropical Atlantic;;mixed;mixed;Mixed;5;;5;;;0.3;;
36;Caribean Sea;Tropical Atlantic;;mixed;mixed;Mixed;5;;4;;;0.4;;
36;Caribean Sea;Tropical Atlantic;;mixed;mixed;Mixed;5;;3;;;1.8;;
36;Caribean Sea;Tropical Atlantic;;mixed;mixed;Mixed;5;;4;;;0.4;;
36;Caribean Sea;Tropical Atlantic;;mixed;mixed;Mixed;5;;3;;;1;;
36;Caribean Sea;Tropical Atlantic;;mixed;mixed;Mixed;5;;9;;;12;;
36;Caribean Sea;Tropical Atlantic;;mixed;mixed;Mixed;5;;14;;;0.2;;
36;Caribean Sea;Tropical Atlantic;;mixed;mixed;Mixed;5;;13;;;1;;
37;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;2;;13.07;;;0.74;;
37;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;2;;4.83;;;1.92;;
37;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;2;;15.28;;;2.19;;
38;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;2;;;42.3;33.6;11.7;;
38;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;2;;;29.5;21.8;6.3;;
38;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;2;;;26.7;16.3;4.3;;
38;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;2;;;18.2;13.3;3.3;;
39;Atlantic Europe;Temperate North Atlantic;intertidal;Zostera marina;Zostera spp.;Opportinistic;10;;20.1;;0.5;0;;
40;E Australia;Temperate Southern Oceans;;Zostera capricorni;Zostera spp.;Opportinistic;10;2;12;;2;0.59;;
40;E Australia;Temperate Southern Oceans;;Zostera capricorni;Zostera spp.;Opportinistic;10;1.5;7;;1.8;0.51;;
40;E Australia;Temperate Southern Oceans;;Zostera capricorni;Zostera spp.;Opportinistic;10;2.2;4;;1.5;0.39;;
40;E Australia;Temperate Southern Oceans;;Zostera capricorni;Zostera spp.;Opportinistic;10;1.4;39;;5.7;2.07;;
40;E Australia;Temperate Southern Oceans;;Zostera capricorni;Zostera spp.;Opportinistic;10;1.4;29;;4.5;1.59;;
40;E Australia;Temperate Southern Oceans;;Zostera capricorni;Zostera spp.;Opportinistic;10;1.6;;;1.6;0.43;;
40;E Australia;Temperate Southern Oceans;;Zostera capricorni;Zostera spp.;Opportinistic;10;1.5;;;2.3;0.71;;
40;E Australia;Temperate Southern Oceans;;Zostera capricorni;Zostera spp.;Opportinistic;10;1.4;;;2;0.59;;
40;E Australia;Temperate Southern Oceans;;Zostera capricorni;Zostera spp.;Opportinistic;10;1.1;;;5.4;1.95;;
40;E Australia;Temperate Southern Oceans;;Zostera capricorni;Zostera spp.;Opportinistic;10;1.3;;;3.5;1.19;;
40;E Australia;Temperate Southern Oceans;;Zostera capricorni;Zostera spp.;Opportinistic;10;1.4;;;2;0.59;;
40;E Australia;Temperate Southern Oceans;;Zostera capricorni;Zostera spp.;Opportinistic;10;1.4;;;2.1;0.63;;
40;E Australia;Temperate Southern Oceans;;Zostera capricorni;Zostera spp.;Opportinistic;10;1.5;;;1.5;0.39;;
40;E Australia;Temperate Southern Oceans;;Zostera capricorni;Zostera spp.;Opportinistic;10;1.4;;;2.5;0.79;;
40;E Australia;Temperate Southern Oceans;;Zostera capricorni;Zostera spp.;Opportinistic;10;1.7;;;1.3;0.31;;
41;E Australia;Temperate Southern Oceans;;Posidonia australis;Posidonia spp.;Persistent;5;;;;;1.18;;
41;E Australia;Temperate Southern Oceans;;Posidonia australis;Posidonia spp.;Persistent;5;;;;;2.22;;
41;E Australia;Temperate Southern Oceans;;Posidonia australis;Posidonia spp.;Persistent;5;;;;;3.14;;
41;E Australia;Temperate Southern Oceans;;Posidonia australis;Posidonia spp.;Persistent;5;;;;;0.95;;
41;E Australia;Temperate Southern Oceans;;Posidonia australis;Posidonia spp.;Persistent;5;;;;;1.17;;
41;E Australia;Temperate Southern Oceans;;Posidonia australis;Posidonia spp.;Persistent;5;;;;;0.94;;
41;E Australia;Temperate Southern Oceans;;Posidonia australis;Posidonia spp.;Persistent;5;;;;;2.7;;
